name	src_type	out_type	band	absmax	n_elem	note
dflash_fc.weight	F16	F16	-	0	131072000	passthrough
dflash_hidden_norm.weight	F32	F32	-	0	5120	passthrough
blk.0.attn_norm.weight	F32	F32	-	0	5120	passthrough
blk.0.ffn_down.weight	F16	F16	-	0	89128960	passthrough
blk.0.ffn_gate.weight	F16	F16	-	0	89128960	passthrough
blk.0.ffn_up.weight	F16	F16	-	0	89128960	passthrough
blk.0.ffn_norm.weight	F32	F32	-	0	5120	passthrough
blk.0.attn_k_norm.weight	F32	F32	-	0	128	passthrough
blk.0.attn_k.weight	F16	F16	-	0	5242880	passthrough
blk.0.attn_output.weight	F16	F16	-	0	20971520	passthrough
blk.0.attn_q_norm.weight	F32	F32	-	0	128	passthrough
blk.0.attn_q.weight	F16	F16	-	0	20971520	passthrough
blk.0.attn_v.weight	F16	F16	-	0	5242880	passthrough
blk.1.attn_norm.weight	F32	F32	-	0	5120	passthrough
blk.1.ffn_down.weight	F16	F16	-	0	89128960	passthrough
blk.1.ffn_gate.weight	F16	F16	-	0	89128960	passthrough
blk.1.ffn_up.weight	F16	F16	-	0	89128960	passthrough
blk.1.ffn_norm.weight	F32	F32	-	0	5120	passthrough
blk.1.attn_k_norm.weight	F32	F32	-	0	128	passthrough
blk.1.attn_k.weight	F16	F16	-	0	5242880	passthrough
blk.1.attn_output.weight	F16	F16	-	0	20971520	passthrough
blk.1.attn_q_norm.weight	F32	F32	-	0	128	passthrough
blk.1.attn_q.weight	F16	F16	-	0	20971520	passthrough
blk.1.attn_v.weight	F16	F16	-	0	5242880	passthrough
blk.2.attn_norm.weight	F32	F32	-	0	5120	passthrough
blk.2.ffn_down.weight	F16	F16	-	0	89128960	passthrough
blk.2.ffn_gate.weight	F16	F16	-	0	89128960	passthrough
blk.2.ffn_up.weight	F16	F16	-	0	89128960	passthrough
blk.2.ffn_norm.weight	F32	F32	-	0	5120	passthrough
blk.2.attn_k_norm.weight	F32	F32	-	0	128	passthrough
blk.2.attn_k.weight	F16	F16	-	0	5242880	passthrough
blk.2.attn_output.weight	F16	F16	-	0	20971520	passthrough
blk.2.attn_q_norm.weight	F32	F32	-	0	128	passthrough
blk.2.attn_q.weight	F16	F16	-	0	20971520	passthrough
blk.2.attn_v.weight	F16	F16	-	0	5242880	passthrough
blk.3.attn_norm.weight	F32	F32	-	0	5120	passthrough
blk.3.ffn_down.weight	F16	F16	-	0	89128960	passthrough
blk.3.ffn_gate.weight	F16	F16	-	0	89128960	passthrough
blk.3.ffn_up.weight	F16	F16	-	0	89128960	passthrough
blk.3.ffn_norm.weight	F32	F32	-	0	5120	passthrough
blk.3.attn_k_norm.weight	F32	F32	-	0	128	passthrough
blk.3.attn_k.weight	F16	F16	-	0	5242880	passthrough
blk.3.attn_output.weight	F16	F16	-	0	20971520	passthrough
blk.3.attn_q_norm.weight	F32	F32	-	0	128	passthrough
blk.3.attn_q.weight	F16	F16	-	0	20971520	passthrough
blk.3.attn_v.weight	F16	F16	-	0	5242880	passthrough
blk.4.attn_norm.weight	F32	F32	-	0	5120	passthrough
blk.4.ffn_down.weight	F16	F16	-	0	89128960	passthrough
blk.4.ffn_gate.weight	F16	F16	-	0	89128960	passthrough
blk.4.ffn_up.weight	F16	F16	-	0	89128960	passthrough
blk.4.ffn_norm.weight	F32	F32	-	0	5120	passthrough
blk.4.attn_k_norm.weight	F32	F32	-	0	128	passthrough
blk.4.attn_k.weight	F16	F16	-	0	5242880	passthrough
blk.4.attn_output.weight	F16	F16	-	0	20971520	passthrough
blk.4.attn_q_norm.weight	F32	F32	-	0	128	passthrough
blk.4.attn_q.weight	F16	F16	-	0	20971520	passthrough
blk.4.attn_v.weight	F16	F16	-	0	5242880	passthrough
output_norm.weight	F32	F32	-	0	5120	passthrough
