ctx,cache_ram,ctx_checkpoints,rep,prompt_n,pp_tps,tg_tps
8192,40960,64,1,181,277.48,19.349
8192,40960,64,2,181,274.69,19.331
8192,40960,64,3,181,274.49,19.331
32768,40960,64,1,181,276.62,18.701
32768,40960,64,2,181,274.61,18.666
32768,40960,64,3,181,274.92,18.659
131072,40960,64,1,181,253.48,16.534
131072,40960,64,2,181,251.33,16.503
131072,40960,64,3,181,250.36,16.477
262144,40960,64,1,181,220.32,14.351
262144,40960,64,2,181,218.91,14.327
262144,40960,64,3,181,218.67,14.329
8192,0,0,1,181,279.79,19.390
8192,0,0,2,181,282.34,19.491
8192,0,0,3,181,280.83,19.493
262144,0,0,1,181,214.28,14.324
262144,0,0,2,181,214.27,14.322
262144,0,0,3,181,217.96,14.568
