Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
45.7,6619513699,73770,89731.8,10185.5,129,252461860,953043.6,cudaMemcpyAsync
29.4,4261762180,1203265,3541.8,3336.0,715,3437584,6879.6,cudaLaunchKernel
11.0,1587540096,7735,205241.1,6310.0,1311,4292660,759117.9,cudaDeviceSynchronize
2.9,421962562,118848,3550.4,3277.0,952,3681211,16379.2,cudaLaunchKernelExC_v11060
2.7,395869853,119106,3323.7,3180.0,563,142041,857.7,cuLaunchKernel
1.6,225835309,66048,3419.3,3431.0,2563,974690,5272.2,cuLaunchKernelEx
1.4,206758549,252188,819.9,759.0,546,20586,375.2,cudaEventRecord
1.0,149884659,1203265,124.6,118.0,91,16089,104.7,cuKernelGetName
0.7,106928344,133398,801.6,688.0,545,22097,424.7,cudaStreamWaitEvent
0.6,93373856,1874,49826.0,64256.5,2206,361093,48087.0,cudaMalloc
0.5,75122399,594096,126.4,110.0,95,28357,100.8,cuStreamGetCaptureInfo_v2
0.4,52123234,5537,9413.6,3542.0,664,308573,21264.3,cudaStreamSynchronize
0.3,43802075,119106,367.8,319.0,268,905716,3625.5,cuKernelGetFunction
0.3,42804856,3,14268285.3,887088.0,44055,41873713,23910717.3,cudaMallocHost
0.3,40217124,66048,608.9,576.0,433,16610,257.5,cudaGetFuncBySymbol_v11000
0.3,39564886,132096,299.5,263.0,222,21976,233.3,cudaStreamGetCaptureInfo_v12030
0.3,38512268,19,2026961.5,1319444.0,349039,10374827,2603136.1,cuLibraryLoadData
0.2,25092964,1765,14217.0,9804.0,1900,79754,12814.8,cudaMemset
0.1,15824541,3,5274847.0,426664.0,50128,15347749,8725420.4,cudaFreeHost
0.1,9397419,558,16841.3,17335.0,5466,219480,16579.9,cudaGraphLaunch_v10000
0.1,8385723,1290,6500.6,5296.5,3526,22827,2797.2,cudaMemcpyPeerAsync
0.1,7697173,48,160357.8,2360.5,664,7456099,1075534.4,cudaMallocAsync_v11020
0.0,4694683,66,71131.6,60863.0,43123,263715,40702.2,cuMemSetAccess
0.0,3517665,22,159893.9,24735.5,550,1694147,359266.6,cudaFree
0.0,2141040,8,267630.0,36115.5,8319,1037823,443684.4,cudaHostAlloc
0.0,2086466,17,122733.3,115086.0,28714,189357,46062.4,cudaGraphInstantiate_v12000
0.0,1661384,51,32576.2,24691.0,16296,130742,20720.7,cuMemCreate
0.0,1596360,66,24187.3,18350.5,2088,78789,15423.1,cuMemMap
0.0,567307,17,33371.0,35497.0,10664,64199,14543.0,cudaGraphExecDestroy_v10000
0.0,522999,54,9685.2,4674.0,1831,123773,21373.7,cudaStreamCreateWithFlags
0.0,516936,19,27207.2,24805.0,10663,49482,12248.8,cudaMemGetInfo
0.0,486051,49,9919.4,8377.0,1888,20233,5089.6,cudaGraphDestroy_v10000
0.0,448316,49,9149.3,6714.0,1297,35270,7177.5,cudaGraphExecUpdate_v10020
0.0,438578,44,9967.7,5726.5,3930,25643,6612.6,cudaMemsetAsync
0.0,358439,2,179219.5,179219.5,169727,188712,13424.4,cuMemUnmap
0.0,330535,48,6886.1,3591.5,2805,141792,19943.6,cudaStreamDestroy
0.0,247594,62,3993.5,2901.5,1770,28661,4488.9,cuMemAddressReserve
0.0,234722,49,4790.2,3633.0,1723,17828,3428.0,cudaStreamBeginCapture_v10000
0.0,154508,880,175.6,149.0,102,1097,85.5,cuGetProcAddress_v2
0.0,102935,2,51467.5,51467.5,47487,55448,5629.3,cudaMemPoolCreate_v11020
0.0,86441,49,1764.1,1379.0,508,10309,1592.7,cudaStreamEndCapture_v10000
0.0,77943,48,1623.8,871.0,664,12237,2327.7,cudaFreeAsync_v11020
0.0,63591,160,397.4,277.0,222,2963,366.2,cudaThreadExchangeStreamCaptureMode_v10010
0.0,48427,23,2105.5,234.0,181,43110,8938.9,cuMemRelease
0.0,45673,76,601.0,366.0,317,3313,600.2,cudaEventCreateWithFlags
0.0,41169,36,1143.6,592.5,281,8549,1803.8,cuLibraryGetKernel
0.0,39227,65,603.5,185.0,129,19975,2489.8,cuMemGetAllocationGranularity
0.0,36102,66,547.0,454.0,328,2554,342.3,cudaEventDestroy
0.0,27906,2,13953.0,13953.0,9968,17938,5635.6,cuMemAddressFree
0.0,22652,43,526.8,482.0,295,2082,273.5,cudaGetDriverEntryPointByVersion_v12050
0.0,9736,16,608.5,549.0,451,1382,224.8,cuMemRetainAllocationHandle
0.0,8466,16,529.1,195.0,157,3014,927.6,cuMemGetAllocationPropertiesFromHandle
0.0,8215,4,2053.8,2006.5,1737,2465,329.4,cuInit
0.0,6869,3,2289.7,241.0,106,6522,3665.9,cuModuleGetLoadingMode
0.0,5137,8,642.1,685.5,158,1219,392.7,cudaGetDeviceProperties_v12000
0.0,4591,2,2295.5,2295.5,2209,2382,122.3,cudaEventQuery
0.0,2522,2,1261.0,1261.0,808,1714,640.6,cudaMemPoolSetAttribute_v11020
