PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
231810,231810,1,786,786,772356.0,514686.5,313759,1515540,401590.0,3424.9,3186.0,2885,25654,1177.9,730653.3,495509.0,255740,1476287,399736.1,38277.7,35072.0,8064,59680,15198.9,cudaLaunchKernel,"void mul_mat_q_split_k_fixup<(int)96, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
231810,231810,0,789,789,766083.6,510219.0,307525,1506627,395862.2,3426.8,3150.0,2865,32994,1471.2,724756.2,493074.0,240131,1464720,394503.7,37900.6,34144.0,8096,59360,15419.8,cudaLaunchKernel,"void mul_mat_q_split_k_fixup<(int)96, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
231810,231810,1,690,689,741536.7,486656.0,288358,1482233,425738.2,3615.4,3337.0,2954,12389,758.0,412064.9,323330.0,593,1185747,391491.4,326453.9,425168.0,55136,462752,130739.2,cudaLaunchKernel,"void mul_mat_q_split_k<(ggml_type)2, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
231810,231810,0,693,692,734655.5,488325.0,283312,1475674,420249.5,3657.1,3315.0,3028,20381,1272.8,407441.4,325439.5,265,1175474,386713.3,324147.8,421503.0,54880,450911,130233.4,cudaLaunchKernel,"void mul_mat_q_split_k<(ggml_type)2, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
231810,231810,0,96,96,709771.8,717554.0,293301,729375,44406.2,5016.9,4594.0,3733,13520,1354.2,416393.4,424836.0,646,434993,44399.9,288361.5,288399.0,279135,295391,4000.6,cudaLaunchKernel,"void mul_mat_q_split_k<(ggml_type)159, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
231810,231810,1,96,96,707385.8,714893.0,296322,727357,43951.8,4589.5,4060.5,3636,10180,1069.2,416712.6,426423.5,1374,432056,44283.3,286083.7,287216.0,274272,295200,4660.8,cudaLaunchKernel,"void mul_mat_q_split_k<(ggml_type)159, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
231810,231810,1,4119,4117,232296.7,179194.0,142136,1168336,102240.9,4029.3,3827.0,3440,21802,868.9,71232.5,60681.0,9652,565471,55038.4,157069.8,112608.0,97344,598912,63075.4,cudaLaunchKernel,"void flash_attn_per_slot_kv_singlewarp_kernel<(int)256, (int)256, (ggml_type)2, (ggml_type)2>(const char *, const char *, const char *, const char *, const char *, const int *, const int *, int, float *, float2 *, float, float, float, float, float, unsigned int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
231810,231810,1,4119,4119,225400.4,172753.0,135118,1190916,104248.5,3660.2,3487.0,3140,20490,792.2,220329.9,167980.0,129936,1181254,103922.0,1410.3,1376.0,1344,5760,369.0,cudaLaunchKernel,"sigmoid_f32(const float *, float *, int)"
231810,231810,1,4119,4119,222974.7,170630.0,132514,1194982,104642.8,3758.0,3585.0,3257,21960,917.2,217225.7,165183.0,126925,1182364,104179.4,1991.1,1952.0,1888,8896,581.7,cudaLaunchKernel,"void k_bin_bcast<&op_mul, float, float, float>(const T2 *, const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
231810,231810,0,3864,3862,219752.1,175030.0,117734,1157779,96488.6,4360.6,4080.0,3640,19793,863.8,57872.4,55879.0,579,556328,43354.6,157549.2,112800.0,97856,599615,63872.4,cudaLaunchKernel,"void flash_attn_per_slot_kv_singlewarp_kernel<(int)256, (int)256, (ggml_type)2, (ggml_type)2>(const char *, const char *, const char *, const char *, const char *, const int *, const int *, int, float *, float2 *, float, float, float, float, float, unsigned int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
