Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
48.2,349999057477,39,8974334807.1,105679336.0,96504,23309792883,10833062708.0,pthread_cond_wait
33.5,242953516909,3401,71435906.2,10428045.0,1075,1001387923,146415815.0,poll
11.6,84040543612,119,706223055.6,500420800.0,500047333,4000430386,827017392.2,pthread_cond_timedwait
3.2,23307041227,7,3329577318.1,6946250.0,2741,11761884289,5680983379.8,accept4
3.2,23172527173,24,965521965.5,1000420090.0,516667381,1000450075,119528648.6,pthread_cond_clockwait
0.1,523930442,653,802343.7,2620.0,1262,508485408,19904180.1,mmap
0.1,490994472,2029,241988.4,1717.0,1607,487137277,10814554.8,accept
0.1,375245184,6658,56360.0,14708.5,1001,37991912,553850.8,ioctl
0.0,265306747,4855,54646.1,53905.0,5902,5415898,105511.8,nanosleep
0.0,117853077,632,186476.4,2819.0,2214,96404633,3872867.2,munmap
0.0,89573486,74,1210452.5,23700.0,1096,56081846,7212628.3,pthread_mutex_lock
0.0,77610922,3,25870307.3,9285.0,1580,77600057,44799277.5,pthread_rwlock_wrlock
0.0,8074223,1,8074223.0,8074223.0,8074223,8074223,0.0,dup
0.0,6217170,20,310858.5,15564.0,10438,2927494,734552.3,pthread_join
0.0,3981898,59,67489.8,6779.0,4196,1554205,270798.7,mmap64
0.0,3610981,2508,1439.8,1156.0,1017,383375,7672.0,fread
0.0,3317675,355,9345.6,4226.0,1481,467052,38088.7,send
0.0,2617175,34,76975.7,74348.0,21717,132718,22686.0,pthread_create
0.0,2615162,62,42180.0,1428.0,1180,720609,131915.5,read
0.0,2496557,350,7133.0,2252.5,1002,247599,20340.8,recv
0.0,1905833,346,5508.2,5782.5,1002,11572,1667.9,fputs
0.0,1830860,23,79602.6,63448.0,9724,330558,95237.2,sem_timedwait
0.0,626011,125,5008.1,3615.0,1024,85410,7893.2,fopen
0.0,567872,18,31548.4,27592.5,6762,60878,16580.7,connect
0.0,477163,100,4771.6,3804.5,1832,18676,2756.9,open64
0.0,368473,81,4549.0,2881.0,1067,15768,3749.7,fclose
0.0,367949,35,10512.8,8615.0,1244,42516,9277.4,shutdown
0.0,251535,1,251535.0,251535.0,251535,251535,0.0,ppoll
0.0,222967,59,3779.1,2562.0,1003,19657,3270.8,close
0.0,186805,4,46701.3,45772.5,43773,51487,3532.7,fgets
0.0,169603,33,5139.5,4076.0,2252,12765,2802.7,socket
0.0,133134,15,8875.6,5603.0,1503,28214,8378.1,open
0.0,121559,29,4191.7,2500.0,1019,40983,7263.5,fflush
0.0,63746,16,3984.1,2449.5,1244,19604,4412.7,pthread_cond_signal
0.0,60130,26,2312.7,1964.0,1044,5541,1197.0,write
0.0,59311,8,7413.9,2855.0,2103,28165,9467.3,pthread_cond_broadcast
0.0,42168,15,2811.2,1772.0,1110,6703,2044.9,bind
0.0,23119,18,1284.4,1104.0,1015,3122,482.7,fcntl
0.0,18923,4,4730.8,4736.5,3204,6246,1483.8,pipe2
0.0,16098,8,2012.3,1749.0,1017,3915,1040.0,listen
0.0,12244,6,2040.7,2054.5,1355,3188,663.4,stat
0.0,6701,3,2233.7,2610.0,1277,2814,834.8,fwrite
0.0,5479,1,5479.0,5479.0,5479,5479,0.0,pipe
0.0,4846,1,4846.0,4846.0,4846,4846,0.0,fopen64
0.0,2440,1,2440.0,2440.0,2440,2440,0.0,signal
0.0,1251,1,1251.0,1251.0,1251,1251,0.0,pthread_rwlock_rdlock
0.0,1145,1,1145.0,1145.0,1145,1145,0.0,mlockall
0.0,1091,1,1091.0,1091.0,1091,1091,0.0,sigaction
