kernel,ctx8k_ns,ctx256k_ns,delta_ns,delta_pct
ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),2799346651.0,2813145370.0,13798719.0,0.004929264117779386
"void mul_mat_q_split_k<(ggml_type)2, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)",6432746140.0,6437778794.0,5032654.0,0.0007823492316456626
"fused_mul_silu_f32(const float *, const float *, float *, int)",48004409.0,45764839.0,-2239570.0,-0.04665342302203945
"void mul_mat_q_split_k<(ggml_type)159, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)",1034052020.0,1032746792.0,-1305228.0,-0.0012622459748204973
"void fused_mul_mat_vec_q<(ggml_type)2, (int)1, (int)4, (int)1>(const void *, const void *, const void *, float *, const char *, const void *, const void *, unsigned long, int, int, int, int, unsigned long, unsigned long, unsigned long, long, ggml_unary_op, float)",2863568878.0,2864517813.0,948935.0,0.00033138193646764513
"void fused_rms_norm_f32<(int)1024, float>(const T2 *, const float *, float *, int, float)",312527205.0,313364189.0,836984.0,0.0026781156539636974
"void convert_unary<float, __half>(const void *, T2 *, long)",177411608.0,178009783.0,598175.0,0.003371679039175346
"void convert_unary<__half, float>(const void *, T2 *, long)",162155038.0,162713987.0,558949.0,0.0034470036015779026
void cutlass::Kernel2<cutlass_75_wmma_tensorop_h161616gemm_16x16_128x2_tn_align8>(T1::Params),1581055518.0,1581519780.0,464262.0,0.00029364054248226523
"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, __half, __half, (bool)0, __half, __half, __half, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",227946044.0,228307215.0,361171.0,0.0015844582939987806
"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, void *, long, long, long)",188105597.0,188421263.0,315666.0,0.0016781318846137427
"void mul_mat_q_split_k<(ggml_type)2, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)",449587719.0,449887618.0,299899.0,0.0006670533631725206
"void ssm_conv_single_seq_f32_nc4<(int)32>(const float *, const float *, const float *, float *, int, int, int, int, int)",66035589.0,66334257.0,298668.0,0.004522833891888123
"void mul_mat_q_split_k_fixup<(int)8, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)",273570208.0,273868704.0,298496.0,0.0010911129621249405
"void cpy_flt<&cpy_1_flt<float, float>>(const char *, char *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, char **, int)",441194430.0,440919246.0,-275184.0,-0.0006237250094023317
"void delta_net_recurrent_f32<(int)128, (int)256>(const float *, const float *, const float *, const float *, const float *, const float *, float *, long, long, int, long, long, long, int, unsigned long, unsigned long, unsigned long)",260480816.0,260707216.0,226400.0,0.0008691618963601044
