Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.1,3199091164,56771,56350.8,58464.0,15776,93152,25018.6,"void mul_mat_q_split_k<(ggml_type)2, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
14.8,1427012551,16258,87772.9,87712.0,87136,93728,502.7,"void fused_mul_mat_vec_q<(ggml_type)2, (int)1, (int)4, (int)1>(const void *, const void *, const void *, float *, const char *, const void *, const void *, unsigned long, int, int, int, int, unsigned long, unsigned long, unsigned long, long, ggml_unary_op, float)"
14.3,1385915853,32768,42294.8,20000.0,12096,1303902,50830.8,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
8.1,786068886,59264,13263.9,4000.0,3903,4245187,193996.3,void cutlass::Kernel2<cutlass_75_wmma_tensorop_h161616gemm_16x16_128x2_tn_align8>(T1::Params)
6.6,637878066,3967,160796.1,112864.0,111839,600126,65843.8,"void flash_attn_per_slot_kv_singlewarp_kernel<(int)256, (int)256, (ggml_type)2, (ggml_type)2>(const char *, const char *, const char *, const char *, const char *, const int *, const int *, int, float *, float2 *, float, float, float, float, float, unsigned int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
5.3,513181330,12192,42091.6,42144.0,40672,43648,455.6,"void mul_mat_q_split_k<(ggml_type)159, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
2.3,225343840,693,325171.5,423456.0,54976,451296,130736.8,"void mul_mat_q_split_k<(ggml_type)2, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
2.3,219444786,32638,6723.6,2464.0,2111,19136,5620.1,"void cpy_flt<&cpy_1_flt<float, float>>(const char *, char *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, char **, int)"
1.6,156260943,32895,4750.3,4672.0,4480,16096,918.9,"void fused_rms_norm_f32<(int)1024, float>(const T2 *, const float *, float *, int, float)"
1.4,136257758,68963,1975.8,2048.0,1407,2336,200.0,"void mul_mat_q_split_k_fixup<(int)8, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
1.3,129748865,12288,10559.0,7584.0,7360,390689,33518.8,"void delta_net_recurrent_f32<(int)128, (int)256>(const float *, const float *, const float *, const float *, const float *, const float *, float *, long, long, int, long, long, long, int, unsigned long, unsigned long, unsigned long)"
1.2,114576964,59136,1937.5,1920.0,1824,2016,21.2,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, __half, __half, (bool)0, __half, __half, __half, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
1.0,93855553,49148,1909.7,1664.0,1600,15424,770.6,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, void *, long, long, long)"
0.9,89044207,59264,1502.5,1472.0,1280,2208,177.0,"void convert_unary<float, __half>(const void *, T2 *, long)"
0.8,81566818,59264,1376.3,1344.0,1280,4352,143.1,"void convert_unary<__half, float>(const void *, T2 *, long)"
0.6,57498656,12288,4679.3,4672.0,4576,5344,58.7,"concat_f32_dim0(const float *, const float *, float *, long, long)"
0.4,41653250,24384,1708.2,1696.0,1632,1792,35.3,"void l2_norm_f32<(int)256>(const float *, float *, int, float)"
0.3,33484984,12288,2725.0,2560.0,2240,23488,1770.6,"void ssm_conv_single_seq_f32_nc4<(int)32>(const float *, const float *, const float *, float *, int, int, int, int, int)"
0.3,31825198,16252,1958.2,1920.0,1855,12576,655.7,"void hadamard_f32<(int)256>(const char *, char *, int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
