Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
38.8,2400996434,35042,68517.7,10540.0,136,1923582,106006.9,cudaMemcpyAsync
35.0,2166409891,597195,3627.6,3350.0,1112,324517,1424.5,cudaLaunchKernel
11.6,715365034,3823,187121.4,6455.0,1394,4262827,762122.7,cudaDeviceSynchronize
3.5,216733869,59136,3665.0,3376.0,3091,180618,1346.7,cudaLaunchKernelExC_v11060
3.3,204635577,59264,3452.9,3228.0,2963,34774,1053.3,cuLaunchKernel
1.9,119922756,32768,3659.8,3575.0,2686,51962,1177.7,cuLaunchKernelEx
1.8,109221933,125312,871.6,789.0,518,22132,499.9,cudaEventRecord
1.2,76752536,597195,128.5,118.0,92,32475,164.2,cuKernelGetName
0.9,54461454,66176,823.0,675.0,537,22484,535.9,cudaStreamWaitEvent
0.6,38898821,295680,131.6,110.0,95,15952,141.7,cuStreamGetCaptureInfo_v2
0.4,21779070,65536,332.3,281.0,227,17018,278.4,cudaStreamGetCaptureInfo_v12030
0.4,21707733,32768,662.5,607.0,429,16406,417.7,cudaGetFuncBySymbol_v11000
0.3,20300814,59264,342.5,301.0,253,15851,255.4,cuKernelGetFunction
0.2,9521095,616,15456.3,10590.0,3848,53906,11257.4,cudaMemset
0.1,8194450,1889,4338.0,3748.0,1127,308035,9920.7,cudaStreamSynchronize
0.1,4457475,640,6964.8,6459.0,3828,36300,3180.8,cudaMemcpyPeerAsync
0.1,4028644,257,15675.7,16762.0,7742,56722,7388.8,cudaGraphLaunch_v10000
0.0,17943,2,8971.5,8971.5,8231,9712,1047.2,cudaGraphExecUpdate_v10020
0.0,17756,2,8878.0,8878.0,8856,8900,31.1,cudaStreamBeginCapture_v10000
0.0,12612,2,6306.0,6306.0,5852,6760,642.1,cudaGraphDestroy_v10000
0.0,3390,2,1695.0,1695.0,1611,1779,118.8,cudaStreamEndCapture_v10000
