Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
67.2,80808251555,1106,73063518.6,10438586.0,1056,1001398100,147616385.6,poll
18.3,22013672945,37,594964133.6,500433498.0,500025873,4000438233,575408081.2,pthread_cond_timedwait
7.7,9263161745,2,4631580872.5,4631580872.5,103456221,9159705524,6403735294.3,pthread_cond_wait
6.8,8235139535,9,915015503.9,1000434001.0,231658376,1000446761,256258923.0,pthread_cond_clockwait
0.0,619295,108,5734.2,5652.0,3344,9547,769.1,fputs
0.0,174244,9,19360.4,21694.0,1214,35058,11144.7,pthread_mutex_lock
0.0,105353,4,26338.3,26188.0,13507,39470,14722.8,ioctl
0.0,45268,2,22634.0,22634.0,9076,36192,19173.9,send
0.0,18985,1,18985.0,18985.0,18985,18985,0.0,shutdown
0.0,13615,4,3403.8,2707.0,2138,6063,1807.8,fflush
0.0,7831,3,2610.3,1866.0,1676,4289,1456.9,pthread_cond_signal
0.0,6961,1,6961.0,6961.0,6961,6961,0.0,close
0.0,3070,1,3070.0,3070.0,3070,3070,0.0,pthread_cond_broadcast
0.0,1543,1,1543.0,1543.0,1543,1543,0.0,recv
