Generating SQLite file /home/dconnolly/yarn-agentic/data/perf-r3-np1/A-baseline-20260527T233210/A2.sqlite from /home/dconnolly/yarn-agentic/data/perf-r3-np1/A-baseline-20260527T233210/A2.nsys-rep
Processing [/home/dconnolly/yarn-agentic/data/perf-r3-np1/A-baseline-20260527T233210/A2.sqlite] with [/usr/lib/nsight-systems/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     33.2    9,634,622,171    171,107   56,307.6   58,336.0    15,776     94,080     25,005.2  void mul_mat_q_split_k<(ggml_type)2, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, f…
     14.8    4,294,640,616     48,898   87,828.6   87,744.0    87,104     94,624        495.6  void fused_mul_mat_vec_q<(ggml_type)2, (int)1, (int)4, (int)1>(const void *, const void *, const vo…
     14.3    4,139,046,618     98,816   41,886.4   20,864.0    11,872  1,295,645     49,702.6  ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)              
      8.1    2,366,887,198    178,322   13,273.1    3,968.0     3,872  4,199,682    194,182.3  void cutlass::Kernel2<cutlass_75_wmma_tensorop_h161616gemm_16x16_128x2_tn_align8>(T1::Params)       
      6.5    1,892,693,334     11,950  158,384.4  112,672.0    97,600    600,574     64,280.3  void flash_attn_per_slot_kv_singlewarp_kernel<(int)256, (int)256, (ggml_type)2, (ggml_type)2>(const…
      5.3    1,546,788,203     36,750   42,089.5   42,112.0    40,544     43,872        451.0  void mul_mat_q_split_k<(ggml_type)159, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *,…
      2.3      675,189,986      2,076  325,236.0  422,592.5    54,976    460,255    130,837.5  void mul_mat_q_split_k<(ggml_type)2, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, …
      2.3      661,228,225     98,359    6,722.6    2,464.0     2,080     19,168      5,627.1  void cpy_flt<&cpy_1_flt<float, float>>(const char *, char *, int, int, int, int, int, int, int, int…
      1.6      468,058,128     99,159    4,720.3    4,640.0     4,256     16,768        909.7  void fused_rms_norm_f32<(int)1024, float>(const T2 *, const float *, float *, int, float)           
