Generating SQLite file /home/dconnolly/yarn-agentic/data/perf-r3-np1/D-workload-20260527T233210/D2-medium.sqlite from /home/dconnolly/yarn-agentic/data/perf-r3-np1/D-workload-20260527T233210/D2-medium.nsys-rep
Processing [/home/dconnolly/yarn-agentic/data/perf-r3-np1/D-workload-20260527T233210/D2-medium.sqlite] with [/usr/lib/nsight-systems/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     27.3   19,293,990,204    342,757     56,290.6     58,304.0     15,776     93,728     25,013.2  void mul_mat_q_split_k<(ggml_type)2, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, f…
     14.8   10,502,319,693     23,952    438,473.6    436,863.0     97,823  9,722,506    491,686.4  void flash_attn_per_slot_kv_singlewarp_kernel<(int)256, (int)256, (ggml_type)2, (ggml_type)2>(const…
     12.7    9,000,094,133    197,876     45,483.5     21,280.0     11,744  4,352,982    103,058.4  ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)              
     12.2    8,605,784,016     98,050     87,769.3     87,680.0     86,559     95,296        508.7  void fused_mul_mat_vec_q<(ggml_type)2, (int)1, (int)4, (int)1>(const void *, const void *, const vo…
      7.7    5,463,400,962    544,046     10,042.2      3,968.0      3,872  4,250,694    157,105.6  void cutlass::Kernel2<cutlass_75_wmma_tensorop_h161616gemm_16x16_128x2_tn_align8>(T1::Params)       
      4.7    3,327,154,288      2,082  1,598,056.8  2,056,849.5    146,816  2,550,362    705,509.1  void mul_mat_q_split_k<(ggml_type)2, (int)128, (int)8, (bool)0, (int)4>(const char *, const char *,…
      4.4    3,099,513,381     73,614     42,104.9     42,143.0     40,480     44,288        468.3  void mul_mat_q_split_k<(ggml_type)159, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *,…
      1.9    1,328,505,685    197,038      6,742.4      2,464.0      2,111     51,232      5,758.1  void cpy_flt<&cpy_1_flt<float, float>>(const char *, char *, int, int, int, int, int, int, int, int…
      1.5    1,044,286,302    543,276      1,922.2      1,920.0      1,823      2,048         22.1  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, __half, __half, (bool)0, …
      1.4      984,183,208     74,184     13,266.8      7,552.0      5,728  1,123,710     72,018.8  void delta_net_recurrent_f32<(int)128, (int)256>(const float *, const float *, const float *, const…
      1.4      956,037,094    198,604      4,813.8      4,640.0      4,256     41,920      2,275.4  void fused_rms_norm_f32<(int)1024, float>(const T2 *, const float *, float *, int, float)           
      1.2      824,947,678    544,046      1,516.3      1,504.0      1,280      2,176        131.8  void convert_unary<float, __half>(const void *, T2 *, long)                                         
      1.2      816,804,671    416,371      1,961.7      2,048.0      1,407      2,400        195.7  void mul_mat_q_split_k_fixup<(int)8, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)
      1.0      736,575,587    544,046      1,353.9      1,344.0      1,248      4,384        118.3  void convert_unary<__half, float>(const void *, T2 *, long)                                         
      1.0      676,399,432      2,073    326,290.1    425,408.0     55,040    469,120    131,999.3  void mul_mat_q_split_k<(ggml_type)2, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *, …
      0.8      594,831,161    296,720      2,004.7      1,664.0      1,599     45,856      2,074.2  void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, void *, long, long, long)              
      0.7      475,119,563        288  1,649,720.7  1,648,637.5  1,634,338  1,672,220      7,775.2  void mul_mat_q_split_k<(ggml_type)159, (int)128, (int)8, (bool)0, (int)4>(const char *, const char …
      0.5      345,780,107     74,184      4,661.1      4,640.0      4,544      6,336         71.6  concat_f32_dim0(const float *, const float *, float *, long, long)                                  
      0.4      250,022,613    147,048      1,700.3      1,696.0      1,631      1,792         34.0  void l2_norm_f32<(int)256>(const float *, float *, int, float)                                      
      0.4      249,108,612      2,370    105,109.1     95,392.0     10,912    165,824     43,921.4  void mul_mat_q_split_k_fixup<(int)128, (int)8, (bool)0, (int)4>(float *, const float *, int, int, i…
      0.3      209,979,759     74,184      2,830.5      2,560.0      2,208     56,128      3,369.5  void ssm_conv_single_seq_f32_nc4<(int)32>(const float *, const float *, const float *, float *, int…
      0.3      201,790,267     98,915      2,040.0      1,760.0      1,376     60,288      3,405.3  void k_add_same<(int)256, float>(long, const T2 *, const T2 *, T2 *)                                
      0.3      195,849,054     98,106      1,996.3      1,888.0      1,824     33,952      1,437.0  void hadamard_f32<(int)256>(const char *, char *, int, unsigned long, unsigned long, unsigned long,…
      0.3      185,774,337     47,904      3,878.1      3,840.0      3,616     16,832      1,033.5  void k_set_rows_quant<long, block_q4_0, (int)32, &quantize_f32_q4_0_block>(const float *, const T1 …
      0.2      165,835,597     74,184      2,235.5      2,080.0      2,015     32,992      1,972.2  void fused_rms_norm_f32<(int)128, float>(const T2 *, const float *, float *, int, float)            
      0.2      163,160,772     74,940      2,177.2      1,408.0      1,343     98,976      7,081.1  fused_mul_silu_f32(const float *, const float *, float *, int)                                      
      0.2      156,662,528     98,176      1,595.7      1,600.0      1,536      1,952         26.1  quantize_q8_1(const float *, void *, long, long)                                                    
      0.2      155,883,274     74,184      2,101.3      2,080.0      2,047      2,880         54.8  ssm_conv_single_seq_final_state_f32(const float *, const float *, float *, int, int, int, int, int,…
      0.2      122,103,528     74,184      1,646.0      1,632.0      1,568      2,176         36.6  k_fused_softplus(int, int, const float *, const float *, const float *, float *)                    
      0.2      116,397,437     74,184      1,569.0      1,376.0      1,343     40,352      2,387.0  silu_f32(const float *, float *, int)                                                               
      0.2      107,767,246     49,436      2,179.9      2,112.0      1,920     43,744      1,871.3  void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, const int …
      0.2      106,567,968     49,436      2,155.7      2,080.0      1,920     34,528      1,468.0  void fused_rms_norm_f32<(int)256, float>(const T2 *, const float *, float *, int, float)            
      0.1       88,560,495      2,355     37,605.3     34,144.0      7,168     58,976     15,192.4  void mul_mat_q_split_k_fixup<(int)96, (int)8, (bool)0, (int)4>(float *, const float *, int, int, in…
      0.1       80,831,118        282    286,635.2    286,688.0    269,888    297,375      4,264.7  void mul_mat_q_split_k<(ggml_type)159, (int)96, (int)8, (bool)0, (int)4>(const char *, const char *…
      0.1       50,146,850     23,952      2,093.6      1,952.0      1,888     34,880      2,021.7  void k_bin_bcast<&op_mul, float, float, float>(const T2 *, const T3 *, T4 *, int, int, int, int, in…
      0.0       35,290,128     23,952      1,473.4      1,376.0      1,312     24,416      1,402.3  sigmoid_f32(const float *, float *, int)                                                            
      0.0       12,011,962        126     95,333.0     95,376.0     94,656     96,192        379.7  void fused_mul_mat_vec_q<(ggml_type)2, (int)2, (int)4, (int)1>(const void *, const void *, const vo…
      0.0        8,255,225      1,320      6,254.0      4,640.0      1,728     10,176      2,926.6  void l2_norm_f32_nc<(int)32>(const float *, float *, int, long, long, long, float)                  
      0.0        3,325,726        468      7,106.3      7,040.0      6,816      7,808        198.3  scale_f32(const float *, float *, float, float, long)                                               
      0.0           12,384          6      2,064.0      1,936.0      1,920      2,336        211.1  void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, long, unsigned long,…

