Generating SQLite file /home/dconnolly/yarn-agentic/data/perf-r3-np1/D-workload-20260527T233210/D3-deep.sqlite from /home/dconnolly/yarn-agentic/data/perf-r3-np1/D-workload-20260527T233210/D3-deep.nsys-rep
Processing [/home/dconnolly/yarn-agentic/data/perf-r3-np1/D-workload-20260527T233210/D3-deep.sqlite] with [/usr/lib/nsight-systems/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)                                                   Name                                                
 --------  ---------------  ---------  ------------  -----------  ---------  ----------  ------------  ----------------------------------------------------------------------------------------------------
     40.2  125,834,277,051     11,213  11,222,177.6  5,260,406.0     97,472  79,807,132  15,467,519.3  void flash_attn_per_slot_kv_singlewarp_kernel<(int)256, (int)256, (ggml_type)2, (ggml_type)2>(const…
     22.1   69,243,420,144     42,948   1,612,261.8  2,077,311.0    147,008   2,577,947     709,245.3  void mul_mat_q_split_k<(ggml_type)2, (int)128, (int)8, (bool)0, (int)4>(const char *, const char *,…
      8.3   26,074,124,363  6,286,132       4,147.9      3,936.0      3,871   4,251,811      28,489.1  void cutlass::Kernel2<cutlass_75_wmma_tensorop_h161616gemm_16x16_128x2_tn_align8>(T1::Params)       
      6.2   19,321,547,260     91,888     210,272.8     45,984.0     11,808  47,242,997     676,684.7  ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)              
      3.9   12,069,885,534  6,285,840       1,920.2      1,920.0      1,824       3,040          21.7  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, __half, __half, (bool)0, …
      3.1    9,810,364,512      5,946   1,649,909.9  1,648,605.0  1,628,704   1,688,765       7,894.6  void mul_mat_q_split_k<(ggml_type)159, (int)128, (int)8, (bool)0, (int)4>(const char *, const char …
      3.0    9,506,188,637  6,286,132       1,512.2      1,504.0      1,280       2,784          49.7  void convert_unary<float, __half>(const void *, T2 *, long)                                         
      2.7    8,374,791,734  6,286,132       1,332.3      1,344.0      1,248       4,320          31.2  void convert_unary<__half, float>(const void *, T2 *, long)                                         
      2.3    7,333,382,692    130,004      56,408.9     58,336.0     15,776      93,825      24,963.3  void mul_mat_q_split_k<(ggml_type)2, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, f…
      2.2    6,935,440,736     34,536     200,817.7      7,584.0      5,728   1,138,078     415,270.8  void delta_net_recurrent_f32<(int)128, (int)256>(const float *, const float *, const float *, const…
      1.6    5,153,552,474     48,894     105,402.6     95,552.0      9,984     168,512      43,861.0  void mul_mat_q_split_k_fixup<(int)128, (int)8, (bool)0, (int)4>(float *, const float *, int, int, i…
      1.0    3,251,221,591     36,992      87,889.9     87,776.0     86,399      93,920         535.9  void fused_mul_mat_vec_q<(ggml_type)2, (int)1, (int)4, (int)1>(const void *, const void *, const vo…
      0.4    1,182,015,281     28,110      42,049.6     42,080.0     40,544      43,744         446.2  void mul_mat_q_split_k<(ggml_type)159, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *,…
      0.4    1,106,749,886      1,386     798,520.8    945,664.5     79,840   1,343,457     367,380.6  void mul_mat_q_split_k<(ggml_type)2, (int)112, (int)8, (bool)0, (int)4>(const char *, const char *,…
      0.4    1,102,194,986    145,679       7,565.9      1,696.0      1,599      46,368      11,769.6  void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, void *, long, long, long)              
      0.3      992,055,138     91,914      10,793.3      4,640.0      4,160      43,008      13,361.3  void fused_rms_norm_f32<(int)1024, float>(const T2 *, const float *, float *, int, float)           
      0.3      990,192,640     42,978      23,039.5      1,600.0      1,344      98,976      34,706.1  fused_mul_silu_f32(const float *, const float *, float *, int)                                      
      0.3      812,904,504     91,433       8,890.7      2,592.0      2,112      51,360      10,295.0  void cpy_flt<&cpy_1_flt<float, float>>(const char *, char *, int, int, int, int, int, int, int, int…
      0.2      505,508,892     45,922      11,008.0      1,760.0      1,376      63,616      20,057.8  void k_add_same<(int)256, float>(long, const T2 *, const T2 *, T2 *)                                
      0.1      383,457,513     34,536      11,103.1      2,528.0      2,240      57,024      18,386.2  void ssm_conv_single_seq_f32_nc4<(int)32>(const float *, const float *, const float *, float *, int…
      0.1      311,903,779    158,114       1,972.7      2,048.0      1,407       2,816         198.2  void mul_mat_q_split_k_fixup<(int)8, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)
      0.1      271,393,458     34,536       7,858.3      1,376.0      1,343      41,216      13,951.1  silu_f32(const float *, float *, int)                                                               
      0.1      254,874,247     34,536       7,380.0      2,080.0      2,016      33,088      11,371.2  void fused_rms_norm_f32<(int)128, float>(const T2 *, const float *, float *, int, float)            
      0.1      232,191,653     44,657       5,199.4      1,920.0      1,824      33,600       8,691.2  void hadamard_f32<(int)256>(const char *, char *, int, unsigned long, unsigned long, unsigned long,…
      0.1      195,176,096        192   1,016,542.2  1,015,440.0  1,002,174   1,035,873       5,920.5  void mul_mat_q_split_k<(ggml_type)159, (int)112, (int)8, (bool)0, (int)4>(const char *, const char …
      0.1      165,955,718     34,536       4,805.3      4,672.0      4,576       6,880         338.7  concat_f32_dim0(const float *, const float *, float *, long, long)                                  
      0.0      142,393,340     22,296       6,386.5      2,144.0      1,920      44,288      11,369.4  void rope_multi<(bool)1, (bool)0, float>(const T3 *, T3 *, int, int, int, int, int, int, const int …
      0.0      134,950,159     22,426       6,017.6      3,872.0      3,616      17,568       4,540.6  void k_set_rows_quant<long, block_q4_0, (int)32, &quantize_f32_q4_0_block>(const float *, const T1 …
      0.0      118,767,818     22,296       5,326.9      2,112.0      1,920      33,984       8,751.6  void fused_rms_norm_f32<(int)256, float>(const T2 *, const float *, float *, int, float)            
      0.0      116,577,624     13,608       8,566.8      9,344.0      1,728      10,656       2,258.2  void l2_norm_f32_nc<(int)32>(const float *, float *, int, long, long, long, float)                  
      0.0      100,412,604      1,578      63,632.8     57,856.0      8,832      99,712      25,977.5  void mul_mat_q_split_k_fixup<(int)112, (int)8, (bool)0, (int)4>(float *, const float *, int, int, i…
      0.0       96,976,636        693     139,937.4    167,775.0     40,736     202,623      48,584.8  void mul_mat_q_split_k<(ggml_type)2, (int)64, (int)8, (bool)0, (int)4>(const char *, const char *, …
      0.0       94,323,320     55,464       1,700.6      1,696.0      1,631       1,792          31.5  void l2_norm_f32<(int)256>(const float *, float *, int, float)                                      
      0.0       85,402,889     11,213       7,616.4      1,952.0      1,888      37,504      12,059.7  void k_bin_bcast<&op_mul, float, float, float>(const T2 *, const T3 *, T4 *, int, int, int, int, in…
      0.0       76,714,675     34,536       2,221.3      2,112.0      2,047       3,840         250.3  ssm_conv_single_seq_final_state_f32(const float *, const float *, float *, int, int, int, int, int,…
      0.0       65,721,725        693      94,836.5    117,152.0     24,448     135,104      33,959.8  void mul_mat_q_split_k<(ggml_type)2, (int)32, (int)8, (bool)0, (int)4>(const char *, const char *, …
      0.0       60,045,297     37,496       1,601.4      1,600.0      1,536       2,112          38.5  quantize_q8_1(const float *, void *, long, long)                                                    
      0.0       59,387,166     11,213       5,296.3      1,376.0      1,312      25,568       8,342.7  sigmoid_f32(const float *, float *, int)                                                            
      0.0       58,565,018     34,536       1,695.8      1,632.0      1,568       2,400         127.0  k_fused_softplus(int, int, const float *, const float *, const float *, float *)                    
      0.0       53,087,531        693      76,605.4     93,536.0     18,240     109,216      27,352.3  void mul_mat_q_split_k<(ggml_type)2, (int)16, (int)8, (bool)0, (int)4>(const char *, const char *, …
      0.0       31,622,750        126     250,974.2    250,928.0    250,048     252,096         451.7  void fused_mul_mat_vec_q<(ggml_type)2, (int)8, (int)4, (int)1>(const void *, const void *, const vo…
      0.0       23,985,805        252      95,181.8     95,104.0     94,528      96,608         385.2  void fused_mul_mat_vec_q<(ggml_type)2, (int)2, (int)4, (int)1>(const void *, const void *, const vo…
      0.0       17,812,426        126     141,368.5    141,376.0    140,768     142,304         302.4  void fused_mul_mat_vec_q<(ggml_type)2, (int)4, (int)4, (int)1>(const void *, const void *, const vo…
      0.0       10,652,879         96     110,967.5    110,703.5    107,072     119,680       2,045.5  void mul_mat_q_split_k<(ggml_type)159, (int)64, (int)8, (bool)0, (int)4>(const char *, const char *…
      0.0        9,604,436        789      12,172.9     10,272.0      5,504      19,584       4,731.8  void mul_mat_q_split_k_fixup<(int)64, (int)8, (bool)0, (int)4>(float *, const float *, int, int, in…
      0.0        6,735,286         96      70,159.2     70,368.0     66,560      73,312       1,410.5  void mul_mat_q_split_k<(ggml_type)159, (int)32, (int)8, (bool)0, (int)4>(const char *, const char *…
      0.0        4,894,394         96      50,983.3     50,992.0     49,728      52,320         436.4  void mul_mat_q_split_k<(ggml_type)159, (int)16, (int)8, (bool)0, (int)4>(const char *, const char *…
      0.0        4,759,323        789       6,032.1      5,120.0      3,424       9,312       1,970.2  void mul_mat_q_split_k_fixup<(int)32, (int)8, (bool)0, (int)4>(float *, const float *, int, int, in…
      0.0        3,321,020        468       7,096.2      7,040.0      6,816       7,776         176.0  scale_f32(const float *, float *, float, float, long)                                               
      0.0        3,019,642        789       3,827.2      3,392.0      2,336       5,600       1,005.9  void mul_mat_q_split_k_fixup<(int)16, (int)8, (bool)0, (int)4>(float *, const float *, int, int, in…
      0.0           14,176          6       2,362.7      2,352.0      2,336       2,400          31.5  void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, long, unsigned long,…

