Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.0,4461338895,80986,55087.8,58048.0,15776,93440,22546.5,"void mul_mat_q_split_k<(ggml_type)2, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
25.6,3682869237,45532,80885.3,87168.0,55968,350462,25751.7,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
8.3,1188598312,45628,26049.8,4640.0,4351,4194710,298449.1,void cutlass::Kernel2<cutlass_75_wmma_tensorop_h161616gemm_16x16_128x2_tn_align8>(T1::Params)
8.0,1145392524,11994,95497.1,95487.0,94816,96608,251.5,"void fused_mul_mat_vec_q<(ggml_type)2, (int)2, (int)4, (int)1>(const void *, const void *, const void *, float *, const char *, const void *, const void *, unsigned long, int, int, int, int, unsigned long, unsigned long, unsigned long, long, ggml_unary_op, float)"
6.6,952278515,22697,41956.1,41920.0,40608,43680,436.5,"void mul_mat_q_split_k<(ggml_type)159, (int)8, (int)8, (bool)0, (int)4>(const char *, const char *, float *, float *, int, int, int, int, int, int, int)"
3.8,550406780,6274,87728.2,87680.0,87199,91712,379.5,"void fused_mul_mat_vec_q<(ggml_type)2, (int)1, (int)4, (int)1>(const void *, const void *, const void *, float *, const char *, const void *, const void *, unsigned long, int, int, int, int, unsigned long, unsigned long, unsigned long, long, ggml_unary_op, float)"
3.2,458996406,4331,105979.3,106208.0,101536,111520,2795.2,"void flash_attn_per_slot_kv_singlewarp_kernel<(int)256, (int)256, (ggml_type)2, (ggml_type)2>(const char *, const char *, const char *, const char *, const char *, const int *, const int *, int, float *, float2 *, float, float, float, float, float, unsigned int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
2.7,391397344,54056,7240.6,2464.0,2111,14240,5692.7,"void cpy_flt<&cpy_1_flt<float, float>>(const char *, char *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, char **, int)"
1.5,209935433,45438,4620.3,4640.0,4096,5312,119.1,"void fused_rms_norm_f32<(int)1024, float>(const T2 *, const float *, float *, int, float)"
1.4,206217249,103681,1989.0,2048.0,1407,2400,188.9,"void mul_mat_q_split_k_fixup<(int)8, (int)8, (bool)0, (int)4>(float *, const float *, int, int, int)"
1.2,170714602,22697,7521.5,7520.0,7296,7936,88.8,"void delta_net_recurrent_f32<(int)128, (int)256>(const float *, const float *, const float *, const float *, const float *, const float *, float *, long, long, int, long, long, long, int, unsigned long, unsigned long, unsigned long)"
0.9,131115129,72324,1812.9,1664.0,1599,2528,267.5,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, void *, long, long, long)"
0.7,106223686,22697,4680.1,4672.0,4576,4800,31.0,"concat_f32_dim0(const float *, const float *, float *, long, long)"
0.6,85712263,45394,1888.2,1888.0,1792,2016,40.8,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, __half, __half, (bool)0, __half, __half, __half, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.5,77548148,45394,1708.3,1696.0,1632,1792,32.2,"void l2_norm_f32<(int)256>(const float *, float *, int, float)"
0.5,71302015,45628,1562.7,1408.0,1280,1984,222.1,"void convert_unary<float, __half>(const void *, T2 *, long)"
0.4,63735580,45628,1396.9,1408.0,1247,4352,216.5,"void convert_unary<__half, float>(const void *, T2 *, long)"
0.4,56597821,22697,2493.6,2496.0,2176,2848,94.3,"void ssm_conv_single_seq_f32_nc4<(int)32>(const float *, const float *, const float *, float *, int, int, int, int, int)"
0.3,47844187,22697,2108.0,2112.0,2048,2208,24.4,"ssm_conv_single_seq_final_state_f32(const float *, const float *, float *, int, int, int, int, int, int)"
