instruction,uarch,latency,recip_throughput,pipes,ops,notes,source_row,agner_row_first_cell,agner_operands
VMULPS_y,Haswell,5,0.5,p01,1,,R0613,MULSS/D PS/D,"x,x / v,v,v"
VMULPS_y,Skylake,4,0.5,p01,1,,R0632,MULSS/D PS/D,"x,x / v,v,v"
VMULPS_y,IceLake,4,0.5,p01,1,,R0704,MULSS/D PS/D,"x,x / v,v,v"
VMULPS_y,Zen1,3,1,P01,2,fp,R0571,VMULPS,"y,y,y/m"
VMULPS_y,Zen2,3,0.5,P01,1,fp,R0535,MULPS MULPD,"v,v/m"
VMULPS_y,Zen3,3,0.5,P01,1,fp,R0539,MULPS MULPD,"v,v/m"
VFMADD231PS_y,Haswell,5,0.5,p01,1,FMA,R0639,VFMADD... | (all FMA instr.),"v,v,v"
VFMADD231PS_y,Skylake,4,0.5,p01,1,FMA,R0658,VFMADD... | (all FMA instr.),"v,v,v"
VFMADD231PS_y,IceLake,4,0.5,p01,1,,R0730,VFMADD... | (all FMA instruct.),"xy,xy,xy"
VFMADD231PS_y,Zen1,5,1,P01,2,FMA3,R0594,VFMADD132PS/PD,"y,y,y/m"
VFMADD231PS_y,Zen2,5,0.5,P01,1,FMA3,R0546,VFMADD132PS/PD,"v,v,v/m"
VFMADD231PS_y,Zen3,4,0.5,P01,1,FMA3,R0550,VFMADD132PS/PD,"v,v,v/m"
VFMADD213SS,Haswell,5,0.5,p01,1,FMA,R0639,VFMADD... | (all FMA instr.),"v,v,v"
VFMADD213SS,Skylake,4,0.5,p01,1,FMA,R0658,VFMADD... | (all FMA instr.),"v,v,v"
VFMADD213SS,IceLake,4,0.5,p01,1,,R0730,VFMADD... | (all FMA instruct.),"xy,xy,xy"
VFMADD213SS,Zen1,5,0.5,P01,1,FMA3,R0592,VFMADD132SS/SD,"x,x,x/m"
VFMADD213SS,Zen2,5,0.5,P01,1,FMA3,R0546,VFMADD132PS/PD,"v,v,v/m"
VFMADD213SS,Zen3,4,0.5,P01,1,FMA3,R0550,VFMADD132PS/PD,"v,v,v/m"
VHADDPS_y,Haswell,5,2,p1 2p5,3,SSE3,R0611,HADDPS/D | HSUBPS/D,"x,x / v,v,v"
VHADDPS_y,Skylake,6,2,p01 2p5,3,SSE3,R0630,HADDPS/D | HSUBPS/D,"x,x / v,v,v"
VHADDPS_y,IceLake,6,2,p01 2p5,3,,R0703,HADDPS/D | HSUBPS/D,"x,x / v,v,v"
VHADDPS_y,Zen1,7,3,P1 P2 P3,8,mixed domain,R0568,VHADDPS/D | VHSUBPS/D,"y,y,y/m"
VHADDPS_y,Zen2,7,2,P1 P2 P3,3,mixed domain,R0533,VHADD/SUBPS/D,"y,y,y/m"
VHADDPS_y,Zen3,6,2,,3,,R0538,VHADD/SUBPS/D,"y,y,y/m"
VHADDPS_x,Haswell,5,2,p1 2p5,3,SSE3,R0611,HADDPS/D | HSUBPS/D,"x,x / v,v,v"
VHADDPS_x,Skylake,6,2,p01 2p5,3,SSE3,R0630,HADDPS/D | HSUBPS/D,"x,x / v,v,v"
VHADDPS_x,IceLake,6,2,p01 2p5,3,,R0703,HADDPS/D | HSUBPS/D,"x,x / v,v,v"
VHADDPS_x,Zen1,7,2,P1 P2 P3,4,,R0567,HADDPS/D HSUBPS/D,"x,x"
VHADDPS_x,Zen2,7,2,P1 P2 P3,4,,R0532,HADD/SUBPS/D,"x,x"
VHADDPS_x,Zen3,6,2,,4,,R0537,HADD/SUBPS/D,"x,x"
VADDPS_y,Haswell,3,1,p1,1,,R0607,ADDSS/D PS/D | SUBSS/D PS/D,"x,x / v,v,v"
VADDPS_y,Skylake,4,0.5,p01,1,,R0626,ADDSS/D PS/D | SUBSS/D PS/D,"x,x / v,v,v"
VADDPS_y,IceLake,4,0.5,p01,1,,R0699,ADDSS/D PS/D | SUBSS/D PS/D,"x,x / y,y,y"
VADDPS_y,Zen1,3,1,P23,2,fp,R0564,VADDPS/D VSUBPS/D,"y,y,y/m"
VADDPS_y,Zen2,3,0.5,P23,1,fp,R0530,ADDPS/D SUBPS/D,"v,v/m"
VADDPS_y,Zen3,3,0.5,P23,1,,R0535,ADDPS/D SUBPS/D,"v,v/m"
VSUBPS_y,Haswell,3,1,p1,1,,R0607,ADDSS/D PS/D | SUBSS/D PS/D,"x,x / v,v,v"
VSUBPS_y,Skylake,4,0.5,p01,1,,R0626,ADDSS/D PS/D | SUBSS/D PS/D,"x,x / v,v,v"
VSUBPS_y,IceLake,4,0.5,p01,1,,R0699,ADDSS/D PS/D | SUBSS/D PS/D,"x,x / y,y,y"
VSUBPS_y,Zen1,3,1,P23,2,fp,R0564,VADDPS/D VSUBPS/D,"y,y,y/m"
VSUBPS_y,Zen2,3,0.5,P23,1,fp,R0530,ADDPS/D SUBPS/D,"v,v/m"
VSUBPS_y,Zen3,3,0.5,P23,1,,R0535,ADDPS/D SUBPS/D,"v,v/m"
VADDPS_x,Haswell,3,1,p1,1,,R0607,ADDSS/D PS/D | SUBSS/D PS/D,"x,x / v,v,v"
VADDPS_x,Skylake,4,0.5,p01,1,,R0626,ADDSS/D PS/D | SUBSS/D PS/D,"x,x / v,v,v"
VADDPS_x,IceLake,4,0.5,p01,1,,R0699,ADDSS/D PS/D | SUBSS/D PS/D,"x,x / y,y,y"
VADDPS_x,Zen1,3,0.5,P23,1,fp,R0562,ADDSS/D SUBSS/D,"x,x/m"
VADDPS_x,Zen2,3,0.5,P23,1,fp,R0529,ADDSS/D SUBSS/D,"x,x/m"
VADDPS_x,Zen3,3,0.5,P23,1,fp,R0534,ADDSS/D SUBSS/D,"x,x/m"
VSUBPS_x,Haswell,3,1,p1,1,,R0607,ADDSS/D PS/D | SUBSS/D PS/D,"x,x / v,v,v"
VSUBPS_x,Skylake,4,0.5,p01,1,,R0626,ADDSS/D PS/D | SUBSS/D PS/D,"x,x / v,v,v"
VSUBPS_x,IceLake,4,0.5,p01,1,,R0699,ADDSS/D PS/D | SUBSS/D PS/D,"x,x / y,y,y"
VSUBPS_x,Zen1,3,0.5,P23,1,fp,R0562,ADDSS/D SUBSS/D,"x,x/m"
VSUBPS_x,Zen2,3,0.5,P23,1,fp,R0529,ADDSS/D SUBSS/D,"x,x/m"
VSUBPS_x,Zen3,3,0.5,P23,1,fp,R0534,ADDSS/D SUBSS/D,"x,x/m"
VINSERTI128,Haswell,3,1,p5,1,AVX2,R0388,VINSERTI128,"y,y,x,i"
VINSERTI128,Skylake,3,1,p5,1,AVX2,R0393,VINSERTI128,"y,y,x,i"
VINSERTI128,IceLake,3,1,p5,1,,R0365,VINSERTI128,"y,y,x,i"
VINSERTI128,Zen1,1,.67,P013,2,AVX2,R0363,VINSERTI128,"y,y,x,i"
VINSERTI128,Zen2,1,1,P2,1,AVX2,R0361,VINSERTI128,"y,y,x,i"
VINSERTI128,Zen3,2,1,P01,1,AVX2,R0362,VINSERTI128,"y,y,x,i"
VPMOVSXBD_y,Haswell,3,1,p5,1,AVX2,R0347,VPMOVSX/ZX BW BD BQ DW DQ,"y,x"
VPMOVSXBD_y,Skylake,3,1,p5,1,AVX2,R0352,VPMOVSX/ZX BW BD BQ DW DQ,"y,x"
VPMOVSXBD_y,IceLake,3,1,p5,1,,R0321,VPMOVSX/ZX BW BD BQ DW DQ,"y,x"
VPMOVSXBD_y,Zen1,1,0.5,P12,1,SSE4.1,R0361,PMOVSXBW/BD/BQ/WD/WQ/DQ,"x,x"
VPMOVSXBD_y,Zen2,4,1,P12,2,,R0358,VPMOVSXBW/BD/BQ/WD/WQ/DQ,"y,x"
VPMOVSXBD_y,Zen3,4,1,P12,2,,R0359,VPMOVSXBW/BD/BQ/WD/WQ/DQ,"y,x"
VCVTDQ2PS_y,Haswell,3,1,p1,1,AVX,R0571,VCVTDQ2PS,"y,y"
VCVTDQ2PS_y,Skylake,4,0.5,p01,1,AVX,R0588,VCVTDQ2PS,"y,y"
VCVTDQ2PS_y,IceLake,4,0.5,p01,1,,R0650,VCVTDQ2PS,"y,y"
VCVTDQ2PS_y,Zen1,4,2,P3,2,,R0541,VCVTDQ2PS,"y,y"
VCVTDQ2PS_y,Zen2,3,1,P3,1,,R0509,CVTDQ2PS,"v,v"
VCVTDQ2PS_y,Zen3,3,0.5,P23,1,,R0514,CVTDQ2PS,"v,v"
VMOVDQU_y_load,Haswell,3,0.5,p23,1,AVX,R0325,VMOVDQA/U,"y,m256"
VMOVDQU_y_load,Skylake,3,0.5,p23,1,AVX,R0330,VMOVDQA/U,"y,m256"
VMOVDQU_y_load,IceLake,4,0.5,p23,1,,R0301,VMOVDQA/U/32/64,"y,m"
VMOVDQU_y_load,Zen1,3,1,,2,,R0311,VMOVDQA,"y,m256"
VMOVDQU_y_load,Zen2,4,0.5,,1,,R0317,VMOVDQU,"y,m"
VMOVDQU_y_load,Zen3,5,0.5,,1,,R0316,VMOVDQU,"y,m"
VMOVUPS_y_load,Haswell,3,0.5,p23,1,AVX,R0489,VMOVAPS/D VMOVUPS/D,"y,m256"
VMOVUPS_y_load,Skylake,3,0.5,p23,1,AVX,R0506,VMOVAPS/D VMOVUPS/D,"y,m256"
VMOVUPS_y_load,IceLake,3-4,0.5,p23,1,,R0547,VMOVAPS/D VMOVUPS/D,"v,m"
VMOVUPS_y_load,Zen1,5,1,,2,,R0467,VMOVAPS/D VMOVUPS/D,"y,m256"
VMOVUPS_y_load,Zen2,5,0.5,,1,,R0447,VMOVAPS/D VMOVUPS/D,"y,m256"
VMOVUPS_y_load,Zen3,5,0.5,,1,,R0452,VMOVAPS/D VMOVUPS/D,"y,m256"
VMOVUPS_y_reg,Haswell,0-1,1,p5,1,may be elim.,R0487,VMOVAPS/D,"y,y"
VMOVUPS_y_reg,Skylake,0-1,0.25,p015,1,may eliminate,R0504,VMOVAPS/D,"y,y"
VMOVUPS_y_reg,IceLake,0,0.2,,1,may eliminate,R0544,MOVAPS/D,"v,v"
VMOVUPS_y_reg,Zen1,1,0.5,,2,inherit,R0465,VMOVAPS/D,"y,y"
VMOVUPS_y_reg,Zen2,0,0.25,none (rename),1,inherit,R0444,MOVAPS/D,"v,v"
VMOVUPS_y_reg,Zen3,0,0.17,none,1,inherit,R0449,MOVAPS/D,"v,v"
VPSRLW_y,Haswell,1,1,p5,1,,R0458,PSLLDQ | PSRLDQ,"x,i / v,v,i"
VPSRLW_y,Skylake,1,0.5,p01,1,,R0472,PSLLW/D/Q | PSRLW/D/Q | PSRAW/D/Q,"x,i / y,y,i"
VPSRLW_y,IceLake,1,0.5,p01,1,,R0482,PSLLW/D/Q | PSRLW/D/Q | PSRAW/D/Q,"x,i / y,y,i"
VPSRLW_y,Zen1,1,2,P2,2,,R0424,VPSLL/RL W/D/Q VPSRAW/D,"y,y,i"
VPSRLW_y,Zen2,1,1,P2,1,,R0407,VPSLL/RL W/D/Q VPSRAW/D,"v,v,i"
VPSRLW_y,Zen3,1,0.5,P12,1,,R0407,VPSLL/RL W/D/Q VPSRAW/D,"v,v,i"
VPSHUFB_y,Haswell,,1,p23 p5,2,SSSE3,R0350,PSHUFB,"v,m / v,v,m"
VPSHUFB_y,Skylake,,1,p23 p5,2,SSSE3,R0355,PSHUFB,"v,m / v,v,m"
VPSHUFB_y,IceLake,1,0.5,p15,1,,R0325,PSHUFB,"x,x / y,y,y"
VPSHUFB_y,Zen1,1,0.5,P12,1,,R0331,PSHUFB,"mm/x,r/m"
VPSHUFB_y,Zen2,1,0.5,P12,1,,R0330,PSHUFB,"v,r/m"
VPSHUFB_y,Zen3,1,0.5,P12,1,,R0331,PSHUFB,"v,r/m"
VPAND_y,Haswell,,0.5,p015 p23,1,,R0448,PAND PANDN | POR PXOR,"v,m / v,v,m"
VPAND_y,Skylake,1,0.33,p015,1,,R0463,PAND PANDN | POR PXOR,"x,x / y,y,y"
VPAND_y,IceLake,1,0.33,p015,1,,R0473,PAND PANDN | POR PXOR,"x,x / y,y,y"
VPAND_y,Zen1,1,0.5,P0123,2,,R0420,VPAND VPANDN VPOR VPXOR,"y,y,r/m"
VPAND_y,Zen2,1,0.25,P0123,1,,R0405,PAND PANDN POR PXOR,"v,v"
VPAND_y,Zen3,1,0.25,P0123,1,ivec,R0405,PAND PANDN POR PXOR,"v,v"
VXORPS_y,Haswell,1,1,p5,1,,R0657,AND/ANDN/OR/XORPS/PD,"x,x / v,v,v"
VXORPS_y,Skylake,1,0.33,p015,1,,R0675,AND/ANDN/OR/XORPS/PD,"x,x / v,v,v"
VXORPS_y,IceLake,1,0.33,p015,1,,R0751,AND/ANDN/OR/ XORPS/PD,"x,x / y,y,y"
VXORPS_y,Zen1,1,0.5,P0123,2,,R0611,VAND/ANDN/OR/XORPS/PD,"y,y,y/m"
VXORPS_y,Zen2,1,0.25,P0123,1,fp,R0556,AND(N)/OR/XORPS/PD,"v,v/m"
VXORPS_y,Zen3,1,0.25,P0123,1,fp,R0560,AND(N)/OR/XORPS/PD,"v,v/m"
VMAXPS_y,Haswell,3,1,p1,1,,R0631,MAXSS/D PS/D | MINSS/D PS/D,"x,x / v,v,v"
VMAXPS_y,Skylake,4,0.5,p01,1,,R0650,MAXSS/D PS/D | MINSS/D PS/D,"x,x / v,v,v"
VMAXPS_y,IceLake,4,0.5-1,p01,1,,R0720,MAXSS/SD/PS/PD | MINSS/SD/PS/PD,"x,x / v,v,v"
VMAXPS_y,Zen1,1,1,P01,2,,R0583,VMAXPS/D VMINPS/D,"y,y,y/m"
VMAXPS_y,Zen2,1,0.5,P01,1,fp,R0541,MAXSS/SD/PS/PD MINSS/SD/PS/PD,"v,v/m"
VMAXPS_y,Zen3,1,0.5,P23,1,fp,R0545,MAXSS/SD/PS/PD MINSS/SD/PS/PD,"v,v/m"
VMAXPS_x,Haswell,3,1,p1,1,,R0631,MAXSS/D PS/D | MINSS/D PS/D,"x,x / v,v,v"
VMAXPS_x,Skylake,4,0.5,p01,1,,R0650,MAXSS/D PS/D | MINSS/D PS/D,"x,x / v,v,v"
VMAXPS_x,IceLake,4,0.5-1,p01,1,,R0720,MAXSS/SD/PS/PD | MINSS/SD/PS/PD,"x,x / v,v,v"
VMAXPS_x,Zen1,1,0.5,P01,1,fp,R0582,MAXSS/SD/PS/PD MINSS/SD/PS/PD,"x,x/m"
VMAXPS_x,Zen2,1,0.5,P01,1,fp,R0541,MAXSS/SD/PS/PD MINSS/SD/PS/PD,"v,v/m"
VMAXPS_x,Zen3,1,0.5,P23,1,fp,R0545,MAXSS/SD/PS/PD MINSS/SD/PS/PD,"v,v/m"
VPCMPGTD_y,Haswell,,0.5,p15 p23,1,,R0412,PCMPEQB/W/D | PCMPGTB/W/D,"v,m / v,v,m"
VPCMPGTD_y,Skylake,1,0.5,p01,1,,R0417,PCMPEQB/W/D | PCMPGTB/W/D,"x,x / y,y,y"
VPCMPGTD_y,IceLake,1,0.5,p01,1,,R0424,PCMPEQB/W/D | PCMPGTB/W/D,"x,x / y,y,y"
VPCMPGTD_y,Zen1,2,0.67,P013,2,,R0387,VPCMPEQ B/W/D,"y,y,r/m"
VPCMPGTD_y,Zen2,1,0.33,P013,1,,R0387,PCMPEQ B/W/D,"v,v"
VPCMPGTD_y,Zen3,1,0.25,P0123,1,,R0387,PCMPEQ B/W/D,"v,v"
VPBLENDVB_y,Haswell,2,2,2p5,2,AVX2,R0361,VPBLENDVB,"v,v,v,v"
VPBLENDVB_y,Skylake,2,1,2p015,2,AVX2,R0366,VPBLENDVB,"v,v,v,v"
VPBLENDVB_y,IceLake,2,1,2p015,2,,R0338,VPBLENDVB,"v,v,v,v"
VPBLENDVB_y,Zen1,1,1,P01,2,,R0498,VBLENDVPS/PD,"y,y,y/m,y"
VPBLENDVB_y,Zen2,1,0.5,P01,1,,R0472,VBLENDVPS/PD,"v,v,v/m,v"
VPBLENDVB_y,Zen3,1,0.5,P01,1,,R0477,VBLENDVPS/PD,"v,v,v/m,v"
VSHUFPS_x,Haswell,1,1,p5,1,,R0505,SHUFPS/D,"x,x,i / v,v,v,i"
VSHUFPS_x,Skylake,1,1,p5,1,,R0522,SHUFPS/D,"x,x,i / v,v,v,i"
VSHUFPS_x,IceLake,1,0.5,p15,1,,R0567,SHUFPS/D,"x,x,i / v,v,v,i"
VSHUFPS_x,Zen1,1,0.5,P12,1,ivec,R0483,SHUFPS/D,"x,x/m,i"
VSHUFPS_x,Zen2,1,0.5,P12,1,ivec,R0462,SHUFPS/D,"v,v/m,i"
VSHUFPS_x,Zen3,1,0.5,P12,1,,R0467,SHUFPS/D,"v,v/m,i"
VMOVLHPS,Haswell,1,1,p5,1,,R0500,MOVLHPS,"x,x"
VMOVLHPS,Skylake,1,1,p5,1,,R0517,MOVLHPS,"x,x"
VMOVLHPS,IceLake,1,1,p5,1,,R0562,MOVLHPS,"x,x"
VMOVLHPS,Zen1,1,0.5,P12,1,ivec,R0477,MOVLHPS MOVHLPS,"x,x"
VMOVLHPS,Zen2,1,0.5,P12,1,ivec,R0457,MOVLHPS MOVHLPS,"x,x"
VMOVLHPS,Zen3,1,0.5,P12,1,,R0462,MOVLHPS MOVHLPS,"x,x"
VMOVHLPS,Haswell,1,1,p5,1,,R0499,MOVHLPS,"x,x"
VMOVHLPS,Skylake,1,1,p5,1,,R0516,MOVHLPS,"x,x"
VMOVHLPS,IceLake,1,1,p5,1,,R0561,MOVHLPS,"x,x"
VMOVHLPS,Zen1,1,0.5,P12,1,ivec,R0477,MOVLHPS MOVHLPS,"x,x"
VMOVHLPS,Zen2,1,0.5,P12,1,ivec,R0457,MOVLHPS MOVHLPS,"x,x"
VMOVHLPS,Zen3,1,0.5,P12,1,,R0462,MOVLHPS MOVHLPS,"x,x"
VUNPCKLPS_x,Haswell,1,1,p5,1,SSE3,R0534,UNPCKH/LPS/D,"x,x / v,v,v"
VUNPCKLPS_x,Skylake,1,1,p5,1,SSE3,R0551,UNPCKH/LPS/D,"x,x / v,v,v"
VUNPCKLPS_x,IceLake,1,1,p5,1,,R0589,UNPCKH/LPS/D,"x,x / v,v,v"
VUNPCKLPS_x,Zen1,1,0.5,P12,1,,R0510,UNPCKH/LPS/D,"x,x/m"
VUNPCKLPS_x,Zen2,1,0.5,P12,1,,R0481,UNPCKH/LPS/D,"v,v/m"
VUNPCKLPS_x,Zen3,1,0.5,P12,1,,R0486,UNPCKH/LPS/D,"v,v/m"
