name	src_type	out_type	band	absmax	n_elem	note
token_embd.weight	BF16	BF16	A	0.296875	508559360	dry-run band A
blk.0.attn_qkv.weight	BF16	BF16	A	0.384766	16777216	dry-run band A
blk.0.attn_gate.weight	BF16	BF16	A	0.287109	8388608	dry-run band A
blk.0.ssm_out.weight	BF16	BF16	A	0.427734	8388608	dry-run band A
blk.0.ffn_gate_exps.weight	BF16	BF16	A	0.145508	268435456	dry-run band A
blk.0.ffn_up_exps.weight	BF16	BF16	A	0.101074	268435456	dry-run band A
blk.1.attn_qkv.weight	BF16	BF16	A	0.277344	16777216	dry-run band A
blk.1.attn_gate.weight	BF16	BF16	A	0.292969	8388608	dry-run band A
blk.1.ssm_out.weight	BF16	BF16	A	0.609375	8388608	dry-run band A
blk.1.ffn_down_exps.weight	BF16	BF16	A	0.174805	268435456	dry-run band A
blk.1.ffn_gate_exps.weight	BF16	BF16	A	0.120117	268435456	dry-run band A
blk.1.ffn_up_exps.weight	BF16	BF16	A	0.0878906	268435456	dry-run band A
blk.0.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.0.ssm_a	F32	F32	-	0	32	passthrough
blk.0.ssm_conv1d.weight	F32	F32	-	0	32768	passthrough
blk.0.ssm_dt.bias	F32	F32	-	0	32	passthrough
blk.0.ssm_alpha.weight	BF16	BF16	A	0.131836	65536	dry-run band A
blk.0.ssm_beta.weight	BF16	BF16	A	0.0786133	65536	dry-run band A
blk.0.ssm_norm.weight	F32	F32	-	0	128	passthrough
blk.0.ffn_down_exps.weight	BF16	BF16	A	0.192383	268435456	dry-run band A
blk.0.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.0.ffn_down_shexp.weight	BF16	BF16	A	0.3125	1048576	dry-run band A
blk.0.ffn_gate_shexp.weight	BF16	BF16	A	0.204102	1048576	dry-run band A
blk.0.ffn_up_shexp.weight	BF16	BF16	A	0.135742	1048576	dry-run band A
blk.0.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.0.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.1.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.1.ssm_a	F32	F32	-	0	32	passthrough
blk.1.ssm_conv1d.weight	F32	F32	-	0	32768	passthrough
blk.1.ssm_dt.bias	F32	F32	-	0	32	passthrough
blk.1.ssm_alpha.weight	BF16	BF16	A	0.138672	65536	dry-run band A
blk.1.ssm_beta.weight	BF16	BF16	A	0.158203	65536	dry-run band A
blk.1.ssm_norm.weight	F32	F32	-	0	128	passthrough
blk.1.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.1.ffn_down_shexp.weight	BF16	BF16	A	0.408203	1048576	dry-run band A
blk.1.ffn_gate_shexp.weight	BF16	BF16	A	0.164062	1048576	dry-run band A
blk.1.ffn_up_shexp.weight	BF16	BF16	A	0.179688	1048576	dry-run band A
blk.1.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.1.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.2.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.2.ssm_a	F32	F32	-	0	32	passthrough
blk.2.ssm_conv1d.weight	F32	F32	-	0	32768	passthrough
blk.2.ssm_dt.bias	F32	F32	-	0	32	passthrough
blk.2.ssm_alpha.weight	BF16	BF16	A	0.178711	65536	dry-run band A
blk.2.ssm_beta.weight	BF16	BF16	A	0.15332	65536	dry-run band A
blk.2.attn_qkv.weight	BF16	BF16	A	0.265625	16777216	dry-run band A
blk.2.attn_gate.weight	BF16	BF16	A	0.291016	8388608	dry-run band A
blk.2.ssm_norm.weight	F32	F32	-	0	128	passthrough
blk.2.ssm_out.weight	BF16	BF16	A	0.667969	8388608	dry-run band A
blk.2.ffn_down_exps.weight	BF16	BF16	A	0.287109	268435456	dry-run band A
blk.2.ffn_gate_exps.weight	BF16	BF16	A	0.121582	268435456	dry-run band A
blk.2.ffn_up_exps.weight	BF16	BF16	A	0.0864258	268435456	dry-run band A
blk.2.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.2.ffn_down_shexp.weight	BF16	BF16	A	0.449219	1048576	dry-run band A
blk.2.ffn_gate_shexp.weight	BF16	BF16	A	0.219727	1048576	dry-run band A
blk.2.ffn_up_shexp.weight	BF16	BF16	A	0.145508	1048576	dry-run band A
blk.2.ffn_gate_inp_shexp.weight	F32	F32	-	0	2048	passthrough
blk.2.post_attention_norm.weight	F32	F32	-	0	2048	passthrough
blk.3.attn_norm.weight	F32	F32	-	0	2048	passthrough
blk.3.ffn_down_exps.weight	BF16	BF16	A	0.519531	268435456	dry-run band A
blk.3.ffn_gate_exps.weight	BF16	BF16	A	0.177734	268435456	dry-run band A
blk.3.ffn_up_exps.weight	BF16	BF16	A	0.216797	268435456	dry-run band A
blk.3.ffn_gate_inp.weight	F32	F32	-	0	524288	passthrough
blk.3.ffn_down_shexp.weight	BF16	BF16	A	0.419922	1048576	dry-run band A
